osm_id,osm_type,is_in,name,population,admin_level,place,boundary,longitude,latitude,geom_type
3446836,relations,,Parroquia Macapo,,"7",,administrative,-68.4499811744503,9.83180034918901,POLYGON
10832874,relations,,Parroquia Miranda,,"7",,administrative,-68.3662272688053,10.1098052907809,POLYGON
2465736,relations,,Parroquia San Juan,,"7",,administrative,-67.3486853224981,9.88144007381164,POLYGON
11066365,relations,,Municipio Roscio,"126178","6",,administrative,-67.2793006250511,9.76944893673308,POLYGON
272746,relations,,Aragua,"1630308","4",state,administrative,-67.175216076881,10.0274008632907,POLYGON
11023967,relations,,Parroquia Pedro José Ovalles,,"7",,administrative,-67.5826036624403,10.21524886678,POLYGON
10833241,relations,,Parroquia Miguel Peña,,"7",,administrative,-68.0188602397937,10.066594367948,POLYGON
11221611,relations,,Sector 1,,,neighbourhood,,-67.9293400970494,10.1740491193907,POLYGON
19220278,relations,,Sector 22,,"10",,administrative,-67.7020674839194,10.2934728114954,POLYGON
18932494,relations,,Canoabo,,"8",,administrative,-68.280792380933,10.3026985546621,POLYGON
18789679,relations,,Brisas de San Esteban,,"9",,administrative,-68.0270098560012,10.4655420118672,POLYGON
16501946,relations,,Urbanización Valle Verde,,"9",,administrative,-68.0195824505852,10.4526670119193,POLYGON
10664671,relations,,Parroquia San Diego,,"7",,administrative,-67.9519546231197,10.2645099396692,POLYGON
10832867,relations,,Parroquia Naguanagua,,"7",,administrative,-68.0464988290214,10.2496097133322,POLYGON
11221903,relations,,Sector 6,,,neighbourhood,,-67.9274342686678,10.1626155078155,POLYGON
18904261,relations,,Barrio 23 de enero,,"9",,administrative,-68.0554782526411,10.4674857375463,POLYGON
19220281,relations,,Sector 21,,"10",,administrative,-67.7060487775883,10.2920836392053,POLYGON
15612769,relations,,Parroquia Bárbula,,"7",,administrative,-68.0202082497066,10.3022260947843,POLYGON
10832859,relations,,Parroquia Mariara,,"7",,administrative,-67.7227400722524,10.2967556611743,POLYGON
2689580,relations,,Municipio Girardot,"407109","6",,administrative,-67.5994322407254,10.3470886194477,POLYGON
11022332,relations,,Parroquia Alfredo Pacheco Miranda,,"7",,administrative,-67.5313430873339,10.2528882549326,POLYGON
16412867,relations,,Urbanización Los Gavilanes,,"8",,administrative,-68.2031984343793,10.5372502306768,POLYGON
18932495,relations,,Canoabito,,"8",,administrative,-68.2643827687197,10.3183945993381,POLYGON
10832871,relations,,Parroquia Democracia,,"7",,administrative,-68.1183840276469,10.3874654267691,POLYGON
17900033,relations,,Reina Cedeño,,"9",,administrative,-68.2000173462559,10.4930323856429,POLYGON
